Exercise,Video_File,Frame_Number,Side_Used,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Form_Label,Form
Bicep_curls,IMG_5374.MOV,1023,LEFT,113.15,8.9,171.31,179.85,1,Good
Bicep_curls,IMG_5374.MOV,1024,LEFT,111.05,9.98,171.08,179.19,1,Good
Bicep_curls,IMG_5374.MOV,1025,LEFT,109.53,10.77,170.96,179.13,1,Good
Bicep_curls,IMG_5374.MOV,1027,LEFT,106.68,11.48,170.79,179.3,1,Good
Bicep_curls,IMG_5374.MOV,1051,LEFT,95.15,5.44,172.46,178.77,1,Good
Bicep_curls,IMG_5374.MOV,1115,LEFT,70.76,10.39,177.95,174.51,1,Good
Bicep_curls,IMG_5374.MOV,1127,LEFT,75.11,6.36,178.14,174.22,1,Good
Bicep_curls,IMG_5374.MOV,1128,LEFT,74.01,5.38,178.53,172.54,1,Good
Bicep_curls,IMG_5374.MOV,1191,LEFT,109.9,3.4,167.68,177.52,1,Good
Bicep_curls,IMG_5374.MOV,1214,LEFT,125.49,3.2,168.98,179.97,1,Good
Bicep_curls,IMG_5374.MOV,1215,LEFT,127.21,2.37,168.74,179.86,1,Good
Bicep_curls,IMG_5374.MOV,1220,LEFT,133.75,0.65,167.71,179.73,1,Good
Bicep_curls,IMG_5374.MOV,1262,LEFT,133.56,0.93,170.63,179.12,1,Good
Bicep_curls,IMG_5374.MOV,1263,LEFT,130.77,2.22,170.61,179.16,1,Good
Bicep_curls,IMG_5374.MOV,1264,LEFT,128.29,3.34,170.6,179.12,1,Good
Bicep_curls,IMG_5374.MOV,1266,LEFT,125.21,4.26,170.43,179.71,1,Good
Bicep_curls,IMG_5374.MOV,1277,LEFT,114.94,5.39,171.41,179.93,1,Good
Bicep_curls,IMG_5374.MOV,1278,LEFT,113.03,6.21,171.02,179.84,1,Good
Bicep_curls,IMG_5374.MOV,1279,LEFT,112.83,6.4,170.45,178.06,1,Good
Bicep_curls,IMG_5374.MOV,1290,LEFT,104.05,7.78,170.24,177.91,1,Good
Bicep_curls,IMG_5374.MOV,1291,LEFT,102.2,8.38,170.83,177.74,1,Good
Bicep_curls,IMG_5374.MOV,1293,LEFT,99.05,9.53,171.65,176.74,1,Good
Bicep_curls,IMG_5374.MOV,1375,LEFT,74.56,8.53,176.45,174.91,1,Good
Bicep_curls,IMG_5374.MOV,1516,LEFT,137.45,2.58,168.73,179.71,1,Good
Bicep_curls,IMG_5374.MOV,1520,LEFT,132.62,0.79,170.29,178.12,1,Good
Bicep_curls,IMG_5374.MOV,1523,LEFT,128.51,0.11,171.2,177.72,1,Good
Bicep_curls,IMG_5374.MOV,1526,LEFT,124.18,1.7,172.09,176.99,1,Good
Bicep_curls,IMG_5374.MOV,1558,LEFT,100.91,3.43,173.37,177.6,1,Good
Bicep_curls,IMG_5374.MOV,1740,LEFT,103.69,2.18,175.15,176.03,1,Good
Bicep_curls,IMG_5374.MOV,1777,LEFT,120.66,2.46,172.92,175.14,1,Good
Bicep_curls,IMG_5374.MOV,1800,LEFT,129.6,2.48,172.12,175.58,1,Good
Bicep_curls,IMG_5374.MOV,1836,LEFT,125.14,6.88,170.79,177.81,1,Good
Bicep_curls,IMG_5374.MOV,1838,LEFT,122.06,8.62,171.13,177.55,1,Good
Bicep_curls,IMG_5374.MOV,1839,LEFT,120.07,9.66,171.43,177.73,1,Good
Bicep_curls,IMG_5374.MOV,1843,LEFT,116.03,10.36,172.96,175.63,1,Good
Bicep_curls,IMG_5374.MOV,1844,LEFT,114.9,10.68,173.68,174.11,1,Good
Bicep_curls,IMG_5374.MOV,1848,LEFT,110.46,10.16,175.12,173.45,1,Good
Bicep_curls,IMG_5374.MOV,1851,LEFT,107.74,9.97,173.94,176.15,1,Good
Bicep_curls,IMG_5374.MOV,1852,LEFT,106.99,9.75,173.19,178.11,1,Good
Bicep_curls,IMG_5374.MOV,1874,LEFT,98.0,3.91,176.48,173.89,1,Good
Bicep_curls,IMG_5374.MOV,1968,LEFT,88.99,4.04,176.29,175.93,1,Good
Bicep_curls,IMG_5374.MOV,1989,LEFT,95.68,2.13,176.49,175.33,1,Good
Bicep_curls,IMG_5374.MOV,1990,LEFT,97.26,1.65,176.41,175.34,1,Good
Bicep_curls,IMG_5374.MOV,1991,LEFT,99.61,0.81,176.35,175.12,1,Good
Bicep_curls,IMG_5374.MOV,2096,LEFT,124.62,5.99,169.45,176.07,1,Good
Bicep_curls,IMG_5374.MOV,2097,LEFT,123.05,6.36,170.03,176.52,1,Good
Bicep_curls,IMG_5374.MOV,2098,LEFT,121.46,6.65,170.28,176.53,1,Good
Bicep_curls,IMG_5374.MOV,2099,LEFT,119.94,6.88,170.4,176.73,1,Good
Bicep_curls,IMG_5374.MOV,2110,LEFT,107.8,7.75,170.77,176.69,1,Good
Bicep_curls,IMG_5374.MOV,2135,LEFT,89.13,4.22,174.44,176.46,1,Good
Bicep_curls,IMG_5374.MOV,2153,LEFT,81.84,5.26,173.65,179.63,1,Good
Bicep_curls,IMG_5374.MOV,2155,LEFT,80.2,5.69,173.82,179.73,1,Good
Bicep_curls,IMG_5374.MOV,2158,LEFT,78.83,7.68,174.55,179.28,1,Good
Bicep_curls,IMG_5374.MOV,2285,LEFT,124.83,2.85,172.35,179.39,1,Good
Bicep_curls,IMG_5374.MOV,2287,LEFT,127.54,1.57,171.9,179.29,1,Good
Bicep_curls,IMG_5374.MOV,2289,LEFT,130.67,0.32,171.5,179.31,1,Good
Bicep_curls,IMG_5374.MOV,2290,LEFT,132.66,0.38,171.03,179.13,1,Good
Bicep_curls,IMG_5374.MOV,2291,LEFT,134.89,0.95,170.73,179.32,1,Good
Bicep_curls,IMG_5374.MOV,2292,LEFT,137.05,1.88,170.49,179.43,1,Good
Bicep_curls,IMG_5374.MOV,2344,LEFT,138.11,0.27,170.15,178.6,1,Good
Bicep_curls,IMG_5374.MOV,2357,LEFT,123.58,2.15,172.94,178.96,1,Good
Bicep_curls,IMG_5374.MOV,2363,LEFT,118.79,3.79,175.11,178.53,1,Good
Bicep_curls,IMG_5374.MOV,2374,LEFT,106.96,6.25,174.03,179.17,1,Good
Bicep_curls,IMG_5374.MOV,2477,LEFT,92.73,4.33,173.84,178.23,1,Good
Bicep_curls,IMG_5374.MOV,2478,LEFT,94.54,3.8,173.72,178.15,1,Good
Bicep_curls,IMG_5374.MOV,2479,LEFT,96.34,3.36,173.76,177.62,1,Good
Bicep_curls,IMG_5374.MOV,2480,LEFT,98.56,2.69,173.54,177.67,1,Good
Bicep_curls,IMG_5374.MOV,2481,LEFT,100.07,2.52,173.41,177.99,1,Good
Bicep_curls,IMG_5374.MOV,2524,LEFT,123.14,6.66,172.82,179.41,1,Good
Bicep_curls,IMG_5374.MOV,2555,LEFT,127.07,6.18,173.22,178.18,1,Good
Bicep_curls,IMG_5374.MOV,2599,LEFT,93.95,7.84,176.67,176.31,1,Good
Bicep_curls,IMG_5374.MOV,2639,LEFT,79.03,1.26,173.09,179.06,1,Good
Bicep_curls,IMG_5374.MOV,2640,LEFT,77.41,1.81,173.47,179.04,1,Good
Bicep_curls,IMG_5374.MOV,2658,LEFT,73.27,0.2,174.65,177.97,1,Good
Bicep_curls,IMG_5374.MOV,2681,LEFT,92.13,1.29,171.75,176.34,1,Good
Bicep_curls,IMG_5374.MOV,2725,LEFT,113.14,7.82,174.62,177.32,1,Good
Bicep_curls,IMG_5374.MOV,2739,LEFT,125.41,4.34,172.04,176.64,1,Good
Bicep_curls,IMG_5374.MOV,2745,LEFT,131.99,1.76,170.91,177.5,1,Good
Bicep_curls,IMG_5374.MOV,2747,LEFT,135.0,0.96,170.33,179.07,1,Good
Bicep_curls,IMG_5374.MOV,2769,LEFT,130.52,4.56,171.17,178.04,1,Good
Bicep_curls,IMG_5374.MOV,2770,LEFT,128.76,5.51,171.14,178.0,1,Good
Bicep_curls,IMG_5374.MOV,2772,LEFT,125.86,7.22,170.58,178.23,1,Good
Bicep_curls,IMG_5374.MOV,2817,LEFT,86.05,10.6,174.11,178.18,1,Good
Bicep_curls,IMG_5374.MOV,2886,LEFT,77.92,8.15,173.36,177.4,1,Good
Bicep_curls,IMG_5374.MOV,2925,LEFT,107.02,13.68,170.42,177.02,1,Good
Bicep_curls,IMG_5374.MOV,2928,LEFT,111.19,11.86,170.49,177.71,1,Good
Bicep_curls,IMG_5374.MOV,2929,LEFT,113.32,11.06,170.44,177.85,1,Good
Bicep_curls,IMG_5374.MOV,2930,LEFT,115.0,10.54,170.55,178.19,1,Good
Bicep_curls,IMG_5374.MOV,2983,LEFT,99.37,10.94,170.7,179.7,1,Good
Bicep_curls,IMG_5374.MOV,3006,LEFT,82.21,10.71,172.0,179.09,1,Good
Bicep_curls,IMG_5374.MOV,3016,LEFT,77.62,3.1,171.99,178.52,1,Good
Bicep_curls,IMG_5374.MOV,3080,LEFT,91.1,9.35,172.05,178.03,1,Good
Bicep_curls,IMG_5374.MOV,3081,LEFT,93.06,9.18,171.62,177.27,1,Good
Bicep_curls,IMG_5374.MOV,3108,LEFT,110.96,9.96,170.79,176.93,1,Good
Bicep_curls,IMG_5374.MOV,3224,LEFT,73.38,10.11,172.89,178.52,1,Good
Bicep_curls,IMG_5374.MOV,3273,LEFT,65.49,7.87,172.69,178.29,1,Good
Bicep_curls,IMG_5374.MOV,3393,LEFT,113.08,11.43,169.92,179.1,1,Good
Bicep_curls,IMG_5374.MOV,3433,LEFT,120.84,9.61,170.6,177.75,1,Good
Bicep_curls,IMG_5374.MOV,3440,LEFT,113.16,10.94,170.89,179.1,1,Good
Bicep_curls,IMG_5374.MOV,3446,LEFT,106.4,11.61,171.2,179.29,1,Good
Bicep_curls,IMG_5374.MOV,3473,LEFT,86.86,11.68,173.09,179.64,1,Good
Bicep_curls,IMG_5374.MOV,3495,LEFT,72.68,9.83,174.21,179.88,1,Good
Bicep_curls,IMG_5374.MOV,3541,LEFT,76.04,13.1,175.28,177.13,1,Good
Bicep_curls,IMG_5374.MOV,3548,LEFT,83.45,13.08,174.19,176.67,1,Good
Bicep_curls,IMG_5374.MOV,3627,LEFT,117.93,12.4,167.86,178.96,1,Good
Bicep_curls,IMG_5374.MOV,3628,LEFT,115.83,13.11,167.94,179.11,1,Good
Bicep_curls,IMG_5374.MOV,3632,LEFT,111.71,13.42,168.15,179.35,1,Good
Bicep_curls,IMG_5374.MOV,3635,LEFT,107.45,14.19,168.17,179.21,1,Good
Bicep_curls,IMG_5374.MOV,3636,LEFT,105.76,14.44,168.15,179.33,1,Good
Bicep_curls,IMG_5374.MOV,3637,LEFT,104.16,14.28,168.12,179.27,1,Good
Bicep_curls,IMG_5374.MOV,3645,LEFT,97.19,12.16,169.87,176.0,1,Good
Bicep_curls,IMG_5374.MOV,3654,LEFT,91.14,10.68,170.93,176.39,1,Good
Bicep_curls,IMG_5374.MOV,3675,LEFT,72.7,11.7,174.61,178.29,1,Good
Bicep_curls,IMG_5374.MOV,3687,LEFT,67.51,5.52,175.24,179.88,1,Good
Bicep_curls,IMG_5374.MOV,3692,LEFT,65.64,4.13,175.9,176.93,1,Good
Bicep_curls,IMG_5374.MOV,3700,LEFT,69.82,1.09,176.59,175.05,1,Good
Bicep_curls,IMG_5374.MOV,3706,LEFT,73.52,1.95,177.27,177.09,1,Good
Bicep_curls,IMG_5374.MOV,3709,LEFT,70.99,0.81,178.26,177.71,1,Good
Bicep_curls,IMG_5374.MOV,3713,LEFT,67.67,5.27,178.73,179.02,1,Good
Bicep_curls,IMG_5374.MOV,3722,LEFT,67.81,13.33,178.73,179.02,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,1,LEFT,143.99,3.88,177.53,179.9,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,2,LEFT,149.0,0.39,178.94,171.37,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,3,LEFT,142.21,5.32,179.37,169.38,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,4,LEFT,142.94,2.44,178.63,177.3,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,5,LEFT,145.33,0.61,179.62,173.38,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,6,LEFT,142.96,4.98,177.43,173.9,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,7,LEFT,143.16,5.41,179.85,175.25,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,8,LEFT,136.47,5.19,178.99,171.14,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,9,LEFT,137.13,1.75,178.92,173.16,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,10,LEFT,140.89,2.69,178.72,171.91,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,11,LEFT,140.67,2.83,178.33,174.05,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,13,RIGHT,127.59,10.4,172.6,177.86,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,14,RIGHT,127.24,10.51,173.61,179.63,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,15,RIGHT,125.23,10.68,175.87,179.46,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,16,RIGHT,126.13,9.43,177.4,174.08,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,17,RIGHT,125.43,9.92,177.42,175.85,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,22,RIGHT,120.59,11.55,176.57,175.85,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,23,RIGHT,118.08,12.48,177.57,175.37,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,24,RIGHT,116.24,13.02,178.64,174.4,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,25,RIGHT,115.46,13.02,179.32,172.88,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,37,RIGHT,106.96,10.84,179.4,169.89,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,46,RIGHT,99.34,11.13,176.91,170.27,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,48,RIGHT,98.08,10.92,177.04,170.59,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,50,RIGHT,94.96,10.86,176.88,171.3,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,51,RIGHT,94.39,10.71,176.94,168.9,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,56,RIGHT,89.55,10.03,177.25,169.39,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,59,RIGHT,87.21,8.58,175.72,169.02,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,60,RIGHT,86.68,8.39,174.8,166.8,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,71,RIGHT,79.9,7.61,173.65,165.88,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,72,RIGHT,78.8,7.47,174.02,167.84,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,77,RIGHT,74.36,6.6,175.66,167.96,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,78,RIGHT,74.13,5.67,176.01,169.57,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,87,RIGHT,74.96,1.75,177.9,169.13,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,91,RIGHT,74.45,0.29,178.78,173.89,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,115,RIGHT,69.75,0.99,179.04,170.93,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,173,RIGHT,94.24,4.78,176.39,175.65,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,210,RIGHT,111.09,8.75,174.14,177.5,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,212,RIGHT,111.88,8.6,173.82,179.83,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,213,RIGHT,112.38,8.56,173.81,178.19,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,218,RIGHT,118.31,7.31,173.56,176.25,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,227,RIGHT,125.49,9.04,172.04,177.66,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,244,RIGHT,130.6,9.22,171.39,176.45,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,245,RIGHT,130.74,8.98,171.22,174.48,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,247,RIGHT,129.89,9.1,170.94,175.28,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,248,RIGHT,128.29,9.77,170.82,175.95,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,249,RIGHT,126.03,10.36,170.92,176.54,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,250,RIGHT,123.81,11.2,170.92,177.0,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,251,RIGHT,120.74,12.26,171.41,175.13,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,252,RIGHT,118.58,12.44,172.29,174.29,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,254,RIGHT,115.89,12.45,173.56,175.8,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,255,RIGHT,113.93,12.98,174.27,176.93,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,256,RIGHT,111.81,13.06,174.89,175.39,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,257,RIGHT,109.07,13.83,175.69,173.98,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,258,RIGHT,105.89,14.92,176.19,172.13,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,259,RIGHT,103.75,15.2,177.14,170.73,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,261,RIGHT,100.36,16.03,178.7,171.63,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,262,RIGHT,99.18,16.13,178.47,169.56,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,266,RIGHT,93.43,16.47,177.95,169.7,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,268,RIGHT,92.98,13.52,178.02,169.27,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,272,RIGHT,92.9,9.12,177.87,169.45,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,274,RIGHT,91.11,7.98,177.86,171.5,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,277,RIGHT,88.2,8.02,177.43,172.07,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,278,RIGHT,86.44,8.88,177.36,173.26,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,287,RIGHT,81.67,9.18,175.73,174.11,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,289,RIGHT,78.91,9.58,175.54,174.2,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,290,RIGHT,77.4,10.35,175.55,174.18,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,366,RIGHT,85.49,0.96,176.83,171.69,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,367,RIGHT,87.26,0.56,176.95,171.74,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,398,RIGHT,105.63,6.06,177.55,174.75,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,401,RIGHT,107.48,8.63,176.99,174.49,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,419,RIGHT,117.58,8.87,174.94,175.64,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,421,RIGHT,119.71,9.33,175.2,173.94,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,423,RIGHT,120.21,10.33,174.99,175.32,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,426,RIGHT,119.81,12.04,174.85,173.3,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,428,RIGHT,121.35,11.72,175.03,170.97,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,429,RIGHT,121.79,11.45,175.39,169.34,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,430,RIGHT,122.39,11.07,175.44,171.29,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,432,RIGHT,124.65,10.52,175.17,173.09,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,435,RIGHT,127.8,9.77,174.86,173.69,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,446,RIGHT,137.17,8.11,174.45,172.57,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,448,RIGHT,137.37,8.38,173.81,173.6,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,450,RIGHT,137.52,8.79,173.34,172.61,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,453,RIGHT,138.03,8.83,173.17,172.76,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,456,RIGHT,138.43,8.82,173.12,174.22,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,467,RIGHT,132.14,10.25,173.04,176.84,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,468,RIGHT,130.18,10.69,173.18,176.81,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,469,RIGHT,127.83,11.4,173.45,176.41,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,470,RIGHT,125.62,12.13,173.68,175.97,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,471,RIGHT,122.96,13.18,173.86,175.52,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,472,RIGHT,120.56,14.06,174.09,175.16,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,473,RIGHT,118.65,14.72,174.22,174.29,1,Good
Bicep_curls,WhatsApp Video 2026-04-05 at 23.56.48.mp4,474,RIGHT,116.4,15.58,174.18,173.77,1,Good
